	coordinates_xy	x	y	datum	PFOA	PFOS	EFSA4	Drinkwater20
0	('139620,41', '184082,72')	139620,41	184082,72	07-02-2022	1.0	1.0	4.0	54.0
1	('137614,33', '180260,8')	137614,33	180260,8	07-02-2022	1.0	2.0	5.0	30.0
2	('132616,73', '176388,97')	132616,73	176388,97	07-02-2022	1.0	1.0	4.0	29.0
3	('126751,38', '176504,53')	126751,38	176504,53	07-02-2022	1.0	1.0	4.0	24.0
4	('124532,48', '185167,7')	124532,48	185167,7	07-02-2022	2.0	1.0	5.0	27.0
5	('125657,69', '179077,94')	125657,69	179077,94	07-02-2022	6.0	7.0	15.0	43.0
6	('146295,56', '157004,05')	146295,56	157004,05	07-02-2022	2.0	3.0	7.0	27.0
7	('146272,72', '178215,53')	146272,72	178215,53	07-02-2022	14.0	30.0	47.0	69.0
8	('162502,38', '164594,52')	162502,38	164594,52	07-02-2022	1.0	1.0	4.0	24.0
9	('139468,27', '206679,67')	139468,27	206679,67	07-02-2022	19.0	14.0	37.0	104.0
10	('161692,83', '184026,72')	161692,83	184026,72	08-02-2022	4.0	1.0	7.0	37.0
11	('56666,28', '200990,02')	56666,28	200990,02	08-02-2022	4.0	1.0	8.0	62.0
12	('49554,13', '209582,31')	49554,13	209582,31	08-02-2022	1.0	1.0	4.0	24.0
13	('55904,96', '216775,58')	55904,96	216775,58	08-02-2022	1.0	1.0	4.0	28.0
14	('58480,87', '211933,56')	58480,87	211933,56	08-02-2022	1.0	1.0	4.0	24.0
15	('66398', '223822')	66398	223822	08-02-2022	3.0	2.0	7.0	34.0
16	('74691', '211318')	74691	211318	08-02-2022	1.0	1.0	4.0	26.0
17	('74517', '221889')	74517	221889	08-02-2022	1.0	1.0	4.0	25.0
18	('147660', '181650')	147660	181650	08-02-2022	6.0	13.0	24.0	48.0
19	('155955', '180524')	155955	180524	08-02-2022	1.0	1.0	4.0	24.0
20	('160639', '186224')	160639	186224	08-02-2022	3.0	1.0	6.0	48.0
21	('51334', '197169')	51334	197169	08-02-2022	1.0	1.0	4.0	25.0
22	('62307', '213314')	62307	213314	08-02-2022	1.0	1.0	4.0	24.0
23	('80085,12', '224563,75')	80085,12	224563,75	08-02-2022	1.0	1.0	4.0	24.0
24	('35679,05', '166561,36')	35679,05	166561,36	09-02-2022	1.0	1.0	4.0	24.0
25	('28320', '188493')	28320	188493	09-02-2022	1.0	1.0	4.0	24.0
26	('32699', '194963')	32699	194963	09-02-2022	1.0	1.0	4.0	28.0
27	('40885', '199476')	40885	199476	09-02-2022	1.0	1.0	4.0	27.0
28	('44058', '181587')	44058	181587	09-02-2022	1.0	1.0	4.0	28.0
